delivery_id,latitude,longitude,priority,weight,due_time
Rio Branco,10,8,LOW,0,
Porto Velho,16,16,LOW,0,
Manaus,24,30,LOW,0,
Boa Vista,28,46,LOW,0,
Belem,44,53,LOW,0,
Macapa,50,65,LOW,0,
Palmas,43,36,LOW,0,
Sao Luis,53,58,LOW,0,
Teresina,58,52,LOW,0,
Fortaleza,67,59,LOW,0,
Natal,77,62,LOW,0,
Joao Pessoa,75,56,LOW,0,
Recife,73,50,LOW,0,
Maceio,74,44,LOW,0,
Aracaju,71,39,LOW,0,
Salvador,65,34,LOW,0,
Cuiaba,38,24,LOW,0,
Campo Grande,34,14,LOW,0,
Goiania,47,23,LOW,0,
Brasilia,50,28,LOW,0,
Belo Horizonte,55,18,LOW,0,
Vitoria,60,20,LOW,0,
Rio de Janeiro,57,12,LOW,0,
Sao Paulo,52,8,LOW,0,
Curitiba,47,4,LOW,0,
Florianopolis,50,2,LOW,0,
Porto Alegre,45,0,LOW,0,
